,LVal_bin,RVal_bin,conf
0,1,1,0.042984300913265626
1,5,0,0.5923243192323667
2,2,5,0.5696457854647542
3,3,4,0.5978976625504514
4,4,0,0.8424681953102982
5,1,0,0.6698278087613027
6,2,2,0.6748478464330896
7,3,5,0.7471015071686984
8,3,1,0.6187918582445556
9,0,4,0.7083964490138878
10,2,4,0.3852192347091894
11,0,3,0.8621471642879389
12,1,2,0.7964056519862796
13,1,4,0.8177487479751829
14,4,2,0.7823256405339502
15,4,3,0.6688321398702567
16,4,1,0.7103920255138991
17,4,5,0.5537160963054818
18,0,2,0.8416640816485729
19,1,4,0.8109824187283895
20,1,5,0.5933921711710776
21,4,1,0.6765467534861795
22,3,3,0.6835090740156183
23,2,1,0.2835790257534446
24,3,4,0.7809995093117922
25,0,1,0.4847598954666999
26,3,2,0.463565284662267
27,5,2,0.6662307721510807
28,3,0,0.4831491374825361
29,3,1,0.5774324817761289
30,5,1,0.6827917145268236
31,1,2,0.7055188614764685
32,0,2,0.6780459908509621
33,0,1,0.8303900805949894
34,2,0,0.6941868226959206
35,4,2,0.7470810182652565
36,4,0,0.7285641108142449
37,0,0,0.7449970770804519
38,0,5,0.8118813877137405
39,1,0,0.5538752673519257
40,5,4,0.7089697352141286
41,3,0,0.6360294186919903
42,4,4,0.6299112206667451
43,0,4,0.8010269279959772
44,1,3,0.7118988769788058
45,3,0,0.7291601091631073
46,3,3,0.8270104414014718
47,1,0,0.7510129398540973
48,0,1,0.9253780847844184
49,3,4,0.2246630493624588
50,3,5,0.7988025969039412
51,1,4,0.8258631522579392
52,3,2,0.7173001802979968
53,0,1,0.8874949951784369
54,0,2,0.8757903887417283
55,4,3,0.69757934326883
56,1,5,0.731563855405042
57,0,4,0.7629139171536066
58,4,2,0.6317494649934854
59,3,4,0.5593706778250299
60,4,0,0.8472954477986465
61,2,2,0.6544453424986995
62,2,1,0.6570433837206987
63,3,0,0.4335546686000359
64,0,3,0.8213153831633199
65,1,4,0.686156608949282
66,2,0,0.9186071796206522
67,4,1,0.7713349084377927
68,5,4,0.5762474474166756
69,0,2,0.9234224104824936
70,1,1,0.6805439074362691
71,4,2,0.9070645018612108
72,0,0,0.9513707141675402
73,5,2,0.6076013808314028
74,2,5,0.7341404428475466
75,4,1,0.7408333118636921
76,1,3,0.41271711235891895
77,0,4,0.8711047154334548
78,4,4,0.4138332694934513
79,5,1,0.7041046628241101
80,2,4,0.8578495594729657
81,5,0,0.8891202978998051
82,1,0,0.62554961723266
83,4,0,0.8742844627414321
84,4,5,0.5588594986736395
85,3,1,0.8076336868984563
86,1,2,0.30376321029316544
87,3,1,0.5220728089614649
88,0,5,0.8493585307825635
89,1,2,0.752520714405057
90,4,0,0.9556408469831378
91,1,0,0.5474885210547145
92,0,3,0.8403381672465959
93,3,1,0.6185211577004698
94,3,3,0.5274659607003873
95,1,4,0.5686802865179195
96,0,5,0.9487800133553057
97,0,1,0.9706197243497874
98,1,2,0.8185225736141898
99,3,0,0.7347891678009476
100,5,1,0.3891155314886803
101,4,3,0.6513006669696626
102,4,1,0.41779128475373123
103,0,4,0.8304013739373854
104,1,5,0.9105356726324995
105,3,0,0.24891133831502193
106,4,1,0.4925022861783911
107,1,4,0.4399881450942919
108,1,2,0.7814767972650816
109,5,4,0.41778648953604774
110,0,1,0.6077021945669147
111,2,5,0.9653784827042982
112,5,2,0.5167826457060833
113,4,5,0.4431062477280067
114,3,2,0.5830233308682059
115,4,4,0.5306574999761329
116,1,1,0.3199419218130327
117,4,0,0.8126061005684531
118,4,2,0.4355060526518181
119,0,4,0.9489741060195899
120,3,4,0.2066517224258759
121,3,1,0.7258984551379061
122,2,4,0.673552037062844
123,3,4,0.7835526999912877
124,0,2,0.7632392013247188
125,3,5,0.6160565501697
126,4,2,0.6206375459589654
127,1,0,0.861795157819072
128,0,0,0.8580413973601267
129,5,0,0.5385057692897368
130,2,1,0.5940321481832483
131,2,0,0.5888194015312755
132,2,2,0.45507395381460114
133,0,2,0.9844472407812069
134,1,3,0.617282071423677
135,3,0,0.7352003655110058
136,0,2,0.6516440524398975
137,4,2,0.29070870300425256
138,3,3,0.7763647380066372
139,3,4,0.4059204604186041
140,5,4,0.4591688182755715
141,2,4,0.5952479382564141
142,4,2,0.6339417801828353
143,2,5,0.021056114759099055
