,LVal_bin,RVal_bin,conf
0,1,1,-0.028400978419262046
1,5,0,0.7319740014311302
2,2,5,0.3541658378423133
3,3,4,0.8114214600929321
4,4,0,0.8440772181832564
5,1,0,0.3199749125948337
6,2,2,0.7653943557735999
7,3,5,0.8102782402466304
8,3,1,0.6986514034390627
9,0,4,0.7197866061637163
10,2,4,0.22400967744991104
11,0,3,0.7070891458240091
12,1,2,0.5406518396493365
13,1,4,0.8242830684232928
14,4,2,0.7611339501357812
15,4,3,0.9209239858038283
16,4,1,0.48241212521660004
17,4,5,0.5103649799324894
18,0,2,0.8146794273675505
19,1,4,0.7950568515949891
20,1,5,0.8183027018518946
21,4,1,0.8350786753899945
22,3,3,0.6425245812185152
23,2,1,0.10905424821678059
24,3,4,0.8134776661884346
25,0,1,0.22740229951126686
26,3,2,0.5973695778784598
27,5,2,0.516029111187703
28,3,0,0.38175891640030263
29,3,1,0.3375722823614255
30,5,1,0.834099472631956
31,1,2,0.719210927620481
32,0,2,0.7205269330405111
33,0,1,0.661550479393996
34,2,0,0.5653597825993907
35,4,2,0.6946425660404411
36,4,0,0.8343052844263931
37,0,0,0.5779070097175635
38,0,5,0.7515855167810662
39,1,0,0.5571371286314691
40,5,4,0.8438265490654319
41,3,0,0.6888412645833808
42,4,4,0.4761347328607917
43,0,4,0.853095376330908
44,1,3,0.5993095927072215
45,3,0,0.686843286505161
46,3,3,0.8517152813973562
47,1,0,0.7450487477036672
48,0,1,0.7331409865203575
49,3,4,0.11446518562961848
50,3,5,0.7926567300812339
51,1,4,0.8058412040297217
52,3,2,0.7828363666244524
53,0,1,0.7724381347072016
54,0,2,0.8712506585984774
55,4,3,0.7211489402117205
56,1,5,0.8729710223280815
57,0,4,0.7681648021372532
58,4,2,0.8592995424479969
59,3,4,0.5879051785092454
60,4,0,0.8601078181662163
61,2,2,0.72544781509393
62,2,1,0.7721771187611574
63,3,0,0.4362539960246842
64,0,3,0.5984266665802785
65,1,4,0.8551010142310882
66,2,0,0.8140607137391509
67,4,1,0.7006704204764713
