,LVal_bin,RVal_bin,confReport
0,3,0,0.8515893098229969
1,1,2,0.6781276422781293
2,4,4,0.6729378083848859
3,0,5,0.8969689433198491
4,2,1,0.6724939429621617
5,4,5,0.758809189937571
6,2,4,0.49589248961762167
7,4,2,0.4282545897719401
8,2,0,0.7347524715484259
9,3,0,0.5123712974458279
10,2,5,0.5733723071459202
11,5,1,0.7943016346418736
12,0,4,0.8544299521549557
13,2,2,0.6740577604968677
14,1,1,0.6384732350742143
15,3,2,0.795693988957978
16,0,1,0.7721208163640016
17,3,1,0.6157878500128416
18,0,3,0.7249419533655892
19,3,4,0.6659625057887778
20,1,4,0.7834270948761548
21,3,5,0.5720584838339425
22,3,1,0.5996517462138478
23,1,4,0.7867260546899351
24,3,3,0.8996545433845825
25,4,3,0.41989718373313445
26,4,0,0.7867585718024158
27,1,0,0.30644230834702546
28,0,0,0.8310223156873071
29,1,3,0.7982168977437387
30,1,2,0.7820243038803393
31,4,1,0.8604259952542536
32,4,0,0.8344568957145733
33,1,5,0.673081859175109
34,1,0,0.8786309258546354
35,4,1,0.815140126169467
36,5,2,0.83214878674048
37,5,0,0.8623313814512497
38,5,4,0.5207560908372987
39,0,4,0.7925029540630085
40,0,1,0.7228358109238747
41,4,2,0.3545259583070765
42,0,2,0.6990282485209998
43,0,2,0.6768687300436174
44,3,4,0.6765655935265816
45,3,2,0.33519656956965893
46,3,3,0.3976562596682743
47,3,1,0.6509064262769179
48,2,2,0.49096265617559026
49,1,2,0.33169507220186084
50,3,1,0.6819505997939975
51,3,5,0.5131764342469839
52,5,0,0.7060198738206154
53,0,4,0.8657575132690927
54,4,1,0.7226240353573073
55,3,4,0.5978371870185473
56,3,4,0.49473324706114336
57,2,0,0.6610380575822159
58,1,0,0.4160664338006123
59,1,1,0.5337982140339983
60,4,5,0.30376898332665286
61,3,0,0.728291083295104
62,5,4,0.705865857448242
63,4,3,0.6775718474995787
64,2,1,0.6535313636432413
65,0,1,0.7303537391790502
66,1,5,0.8503809496147667
67,0,1,0.6560181628935977
68,4,4,0.30928490193405034
69,0,5,0.90185293842449
70,3,0,0.7927475202209809
71,1,3,0.49392322347208617
72,1,4,0.7328960631237904
73,4,0,0.8580399320593797
74,4,1,0.8125256056375008
75,2,4,0.8158495213867837
76,0,0,0.7380456659689584
77,5,2,0.556698363819224
78,0,2,0.8171848330957008
79,1,0,0.2765183690380823
80,0,2,0.6646933135668338
81,5,1,0.7703220575572459
82,4,2,0.5223693332671503
83,2,5,0.5395455397264433
84,1,2,0.8744331318423917
85,4,2,0.7261594855908894
86,1,4,0.8979542562422832
87,0,3,0.7032564630974105
88,0,4,0.9116992803143918
89,4,0,0.817527226892615
90,3,0,0.7831904071603273
91,0,5,0.7577954440915631
92,3,5,0.5476314974811529
93,3,1,0.33111446550170887
94,3,0,0.6616239453044401
95,2,2,0.39113837104662025
96,4,2,0.5234163700557455
97,2,5,0.6054999805603062
98,1,2,0.6194111319239458
99,3,4,0.6397462394954362
100,0,2,0.4288324624948203
101,2,4,0.3046472986747398
102,3,3,0.7362838253722881
103,3,2,0.6812175469642049
104,0,0,0.7790910532405719
105,1,4,0.7011369325946136
106,2,0,0.34257239921145266
107,1,0,0.5259729805993731
108,4,0,0.45469364817619984
109,5,2,0.6751946871585586
110,5,0,0.6880822742043766
111,0,4,0.8679224681871296
112,0,1,0.8244343768495167
113,2,1,0.45930893551977003
114,3,1,0.37637827218944575
115,1,5,0.6642927737516127
116,4,5,0.4020045410782008
117,1,2,0.7126630974692733
118,1,3,0.5761318157507036
119,0,4,0.7749851443272068
120,4,3,0.5953293040661
121,4,1,0.44904024467129694
122,4,4,0.4319431752628699
123,1,0,0.770690241462195
124,3,4,0.36018246293803324
125,4,0,0.7638998896173046
126,0,2,0.8282289659250172
127,4,2,0.5606169573139521
128,1,4,0.8911345473970864
129,5,1,0.3942004852416321
130,0,1,0.4306542077453174
131,5,4,0.6293505654706817
132,1,1,0.733001995357395
133,4,1,0.9156183190243259
134,0,3,0.7085894129086705
135,5,4,0.6134941920376171
136,2,0,0.8765133644076645
137,1,5,0.6298963203266873
138,4,1,0.8888262269123882
139,3,1,0.8027502725460323
140,4,2,0.6599091500958394
141,3,4,0.6391443249967318
142,0,1,0.5815965010046135
143,1,1,0.5915631503185652
144,4,2,0.5011332234925469
145,1,2,0.5842268640495101
146,5,1,0.784095192176185
147,3,5,0.7353407354408549
148,2,5,0.6283219457816422
149,3,0,0.6793201707425799
150,0,3,0.303796792445409
151,3,3,0.6037873522648157
152,1,0,0.7272563713563189
153,0,2,0.7295402009692638
154,3,2,0.5352902684068536
155,4,3,0.5793389072192157
156,3,4,0.6626190180259895
157,4,0,0.9122694636564285
158,0,4,0.8189392393296854
159,1,0,0.6258439098303272
160,0,2,0.6812063739808335
161,5,0,0.7728666053427666
162,0,0,0.6985370494921277
163,0,1,0.6350412618153113
164,3,0,0.5912400929852163
165,4,0,0.2235034957417481
166,4,1,0.44589188229239346
167,4,4,0.33282944547923016
168,0,5,0.8079340873559822
169,0,4,0.804571354844104
170,2,4,0.7553150599996656
171,2,2,0.7264820981379577
172,1,4,0.5060382950570578
173,1,3,0.5567589315173903
174,5,2,0.602719432146046
175,1,2,0.6064906127414212
176,4,5,0.7343618811401389
177,2,1,0.6047797506875612
178,3,1,0.5712462303197775
179,1,4,0.5398434332668358
180,4,1,0.5770896572050608
181,3,1,0.628950218614928
182,4,5,0.5464855659200362
183,3,4,0.5903122479706654
184,3,2,0.5409340009973442
185,0,2,0.6817168867983822
186,3,4,0.5905666088369811
187,0,0,0.2983930079774225
188,2,5,0.5600813715080811
189,5,2,0.5442203426342718
190,2,0,0.7874159978097224
191,0,5,0.809923060214351
192,4,4,0.7341493125446409
193,4,0,0.8142588113353482
194,0,1,0.7239408663416639
195,1,2,0.5013497501132389
196,3,5,0.6034394202460543
197,5,4,0.6342985962373252
198,3,0,0.5245639420972781
199,1,2,0.005343457074732744
200,2,4,0.6724183226201869
201,3,1,0.7229927948834928
202,1,3,0.6385742472895566
203,4,0,0.8535004497081911
204,1,4,0.6158742304143592
205,4,2,0.5334169328754147
206,0,2,0.7191377115754214
207,1,4,0.6093904599904258
208,3,3,0.5724858192709138
209,2,2,0.53346373786385
210,1,0,0.5510510244074132
211,1,5,0.884455778346551
212,5,0,0.6168857194337543
213,3,0,0.8118029091837085
214,1,1,0.6665502731310399
215,0,4,0.7094369610761709
216,4,3,0.5627567263869987
217,4,2,0.5056522544919047
218,4,1,0.8343059478680935
219,0,3,0.7206469466442187
220,0,4,0.6893559632356083
221,0,1,0.7683796822313079
222,1,0,0.6333026781970311
223,5,1,0.7012952656659223
224,2,1,0.6127148487465818
225,2,2,0.6462166319327268
226,1,4,0.5511725931099931
227,0,2,0.596963267016376
228,3,1,0.7724831770582035
229,3,4,0.7903874958925818
230,2,1,0.6436505104054489
231,0,1,0.6024722875805286
232,5,4,0.6041807479777996
233,1,2,0.5638978755120883
234,2,5,0.682987231098621
235,1,4,0.3146246470568854
236,1,0,0.5766300281193557
237,5,1,0.8523360951460686
238,4,2,0.6828594663654948
239,3,4,0.7644016177086915
240,1,0,0.896235008368124
241,1,2,0.5347693278157456
242,4,0,0.7582592633956852
243,4,1,0.7867111217540086
244,3,1,0.6144870352728106
245,4,3,0.7527892404367346
246,3,5,0.42504846461293316
247,4,4,0.31265401330691894
248,3,0,0.7828420044886653
249,5,2,0.8721845372371838
250,0,4,0.7437562281795618
251,0,5,0.9480314658415794
252,4,1,0.6832302412025331
253,2,0,0.5272931305208619
254,3,0,0.4492674021621424
255,4,0,0.6182464778335487
256,0,2,0.7971157703721805
257,0,3,0.6054846401778644
258,4,2,0.296359191071109
259,0,0,0.7869947719320983
260,0,4,0.8419123467857995
261,2,4,0.7028103150559877
262,1,1,0.23119383536414045
263,5,0,0.7858019556826392
264,1,3,0.5920231364870543
265,0,1,0.466388685736113
266,4,5,0.34034472277749517
267,3,2,0.39635459938131967
268,3,3,0.6324542119443209
269,1,5,0.779770625979887
270,1,5,0.7561033809466527
271,2,0,0.8281301333269098
272,2,1,0.5644084616069451
273,0,3,0.7378178413707773
274,0,0,0.7543930012561209
275,5,4,0.4062967841232546
276,0,2,0.7342648669811216
277,1,2,0.6094371854052861
278,1,0,0.6962113722535019
279,3,1,0.5622295200725431
280,4,2,0.620152135649593
281,2,2,0.6250174882568733
282,0,4,0.7256701151530296
283,0,1,0.7273092815933706
284,3,3,0.36875006277357364
285,4,1,0.5067288627007555
286,3,4,0.3457489609215549
287,4,5,0.3960619689111179
288,4,4,0.4994526166351034
289,0,2,0.8275671587718577
290,1,3,0.4776029821890048
291,1,4,0.589598077065744
292,1,2,0.3552193038512574
293,5,1,0.8690911770769134
294,4,0,0.8287247367294347
295,4,3,0.6681346728068182
296,5,2,0.4834653145014954
297,4,2,0.7298403871772505
298,1,4,0.6044436484718929
299,1,0,0.7273005910858626
300,2,5,0.791694253926822
301,3,0,0.6827086795626277
302,4,1,0.7659408994717632
303,3,1,0.6509126127889207
304,0,5,0.7372677980938922
305,3,0,0.9309464292506766
306,3,4,0.5922673914886936
307,2,4,0.7603146026180587
308,0,4,0.8520312641829095
309,4,0,0.589215780997988
310,3,5,0.5697121129817634
311,0,1,0.7423909274782197
312,3,2,0.5658456839823299
313,1,1,0.621150602017715
314,5,0,0.816839838986991
315,4,5,0.6069658885184337
316,3,1,0.9553311905956559
317,2,5,0.42547240361947025
318,4,1,0.6903654991753326
319,1,1,0.6087903901388516
320,5,0,0.6867936866440746
321,0,3,0.5412489910031859
322,0,4,0.7631579431134254
323,1,0,0.4433105270067731
324,3,0,0.859040670172611
325,0,2,0.7135549015645934
326,2,2,0.718923648701834
327,4,2,0.5072729198237382
328,5,1,0.5889635056985155
329,0,1,0.7153260977650142
330,2,4,0.4475354514877197
331,0,0,0.5573537912543411
332,3,1,0.6453975411826718
333,1,2,0.43126706679281074
334,4,0,0.7379514367832285
335,3,4,0.5335088665483151
336,1,4,0.7796680616202643
337,1,2,0.43978901637543805
338,0,5,0.8729122165106558
339,4,3,0.7254637526537402
340,5,2,0.7587339391417716
341,3,3,0.6210872746979849
342,3,0,0.6737803145583865
343,3,4,0.42576743826055474
344,1,4,0.47101398691378854
345,4,0,0.7853977297678079
346,4,4,0.5619042050134052
347,1,0,0.5950991244057172
348,4,2,0.6848339843193733
349,5,4,0.6516050636395977
350,2,1,0.30585298225939345
351,0,2,0.7198369671743703
352,3,2,0.5406229206617919
353,2,0,0.8765151630202752
354,4,1,0.7595028839936936
355,3,5,0.5641438737226486
356,0,4,0.9290015352914223
357,0,1,0.7553330617178217
358,1,5,0.7426004602944462
359,1,3,0.6626209402906625
360,4,1,0.7094362324841839
361,3,5,0.8951371887692319
362,0,5,0.8682912946938129
363,0,4,0.790700121572829
364,3,3,0.6116180992061316
365,4,3,0.7316847921375264
366,1,1,0.3649245092023805
367,4,2,0.6350665216410899
368,3,4,0.32979756337807303
369,2,0,0.6327502347623292
370,0,3,0.7653268476913087
371,0,1,0.3906592768611579
372,3,1,0.8637193516196859
373,5,0,0.9375656185515137
374,3,1,0.4441648183072258
375,1,4,0.8391778967319657
376,4,5,0.6985676561888434
377,3,0,0.5495407061885347
378,2,4,0.7605483325727938
379,0,1,0.8298871329630474
380,2,5,0.5256575517011148
381,1,2,0.61424827094176
382,0,2,0.8380246973596694
383,2,1,0.7600333902872459
384,5,4,0.34579120656887413
385,1,2,0.7851540976369568
386,3,4,0.5345247601248619
387,4,4,0.4528806077511255
388,4,0,0.8310285612262605
389,0,0,0.714912412358848
390,2,2,0.4785002170984319
391,4,1,0.7203231187665164
392,4,2,0.7485937700634262
393,1,5,0.7845975081115933
394,4,0,0.9442532576010075
395,0,4,0.9576076128491937
396,5,2,0.4880119247680093
397,3,0,0.8066654082746577
398,0,2,0.5605746115870172
399,5,1,0.8411522867060668
400,1,0,0.4283345347047297
401,3,2,0.48071285720719864
402,1,0,0.6094473651971287
403,1,3,0.8755063776928969
404,1,4,0.7186837654559882
405,4,5,0.3634413174131274
406,2,2,0.4716022621708964
407,4,4,0.5586573656758959
408,4,2,0.2606046093721044
409,1,4,0.9331315847922242
410,3,0,0.7466895368658439
411,4,0,0.7223500169376446
412,4,1,0.758785941661307
413,3,1,0.7321811233521579
414,0,1,0.6360446371982353
415,2,5,0.6121075081454136
416,4,2,0.760517042561674
417,0,4,0.6925207057326697
418,4,3,0.6582651376535489
419,2,0,0.7715387022823184
420,0,0,0.17176877036558377
421,3,2,0.7093526445604057
422,4,1,0.5969218509184208
423,1,2,0.646137114361777
424,0,1,0.6884367650943559
425,3,3,0.43422601424433843
426,0,5,0.8225614460566195
427,1,0,0.3252492497221087
428,5,0,0.9022559323143623
429,2,1,0.6271020043576288
430,0,4,0.7995862278017133
431,5,4,0.6464854937446152
432,3,1,0.6409014249138226
433,1,2,0.6652092228013596
434,1,4,0.7258103689997423
435,3,4,0.6917570183215923
436,1,3,0.6154166882418476
437,5,2,0.5048749222964762
438,5,1,0.8202435935077038
439,1,0,0.49350852497218684
440,4,0,0.751688323971556
441,3,0,0.6778976250153749
442,2,4,0.8082622719759551
443,0,2,0.5689608812783633
444,1,1,0.2820960287806391
445,3,5,0.5854148202436739
446,3,4,0.30091117205222
447,0,2,0.8878655154226737
448,0,3,0.7686874946045872
449,1,5,0.7443873184886055
450,4,2,0.7384267774139891
451,0,2,0.6526374278451733
452,0,3,0.6130260397729229
453,2,1,0.5753136026630432
454,2,2,0.64755180203214
455,3,0,0.360865453996201
456,3,0,0.8054637575267891
457,4,0,0.7161317542708272
458,4,3,0.59447298754236
459,1,0,0.5069557403784597
460,4,1,0.6407312627835764
461,3,1,0.7100455196399524
462,1,2,0.5226285064213017
463,4,5,0.65771215040955
464,3,4,0.6548104108962616
465,4,2,0.5467396729351855
466,4,4,0.6520655205101135
467,1,4,0.690910515269064
468,1,1,0.5550627203353641
469,1,0,0.6115589415217212
470,5,0,0.4737448001025727
471,5,2,0.6629482656122412
472,1,3,0.5036054577464695
473,0,1,0.200332035633767
474,1,2,0.6211707907316232
475,0,4,0.5577271044342741
476,2,4,0.6390557526572814
477,5,4,0.6169047556443386
478,2,5,0.6434989494022316
479,0,2,0.7614511885983146
480,0,5,0.8557633376976902
481,3,5,0.6019496860502752
482,1,5,0.4647274750767306
483,4,1,0.8867750225447926
484,3,3,0.49783001903503293
485,2,0,0.6322109454252538
486,4,0,0.628522431515387
487,5,1,0.660184914723123
488,3,4,0.6879962654276042
489,3,2,0.4982348039911334
490,3,1,0.6004371552644945
491,0,0,0.6032519258457995
492,0,1,0.4702819885256947
493,0,4,0.3795989558677657
494,1,4,0.6214910465519161
495,0,1,0.7996638219314862
496,2,5,0.7238944782808745
497,1,4,0.831537507267472
498,0,0,0.4100028747299522
499,1,2,0.49035419762999205
500,4,2,0.6142336230432833
501,1,4,0.7418218736116822
502,1,2,0.5691551350348814
503,0,2,0.6939197266741977
504,3,2,0.6581477166340232
505,4,0,0.8296806112509431
506,4,4,0.7125082391724546
507,0,4,0.8495510859092313
508,5,2,0.7679483613686886
509,0,3,0.7674123937428801
510,3,4,0.7767588734800591
511,2,1,0.45709876829269336
512,2,0,0.7210678485231253
513,4,0,0.715806727281769
514,0,2,0.5354536507350172
515,3,1,0.7041770328217384
516,5,1,0.7762771954478132
517,0,1,0.7893364809709841
518,0,4,0.7363883855555189
519,2,4,0.61081078946326
520,4,3,0.6199154633338664
521,0,5,0.756736415780537
522,3,3,0.6388994348967763
523,3,4,0.7615350029027282
524,1,0,0.7642858538944696
525,5,4,0.742463485955874
526,4,5,0.31215875356219874
527,3,5,0.5944124251641422
528,5,0,0.7137169174096334
529,1,0,0.3241335206035961
530,2,2,0.7937561417502844
531,1,5,0.8782629095016105
532,3,0,0.8528702479946436
533,4,1,0.7848881746271512
534,1,1,0.5703947182157243
535,4,1,0.7857059890467473
536,3,1,0.5681899285620875
537,3,0,0.7417518805586276
538,4,2,0.7601080338757916
539,1,3,0.6456886727399778
540,5,1,0.7126367142525444
541,0,4,0.7381037610054636
542,2,1,0.784165625720008
543,3,5,0.605620686769987
544,1,0,0.5029505731403565
545,4,3,0.6018449881284341
546,2,4,0.4092838943337772
547,0,2,0.7875957801186736
548,4,0,0.6741889892670803
549,0,0,0.34476852522002244
550,1,4,0.4532792314632324
551,4,0,0.570645292770106
552,0,4,0.7587118546163353
553,2,5,0.3190619254514344
554,1,2,0.5605088651034136
555,3,1,0.4252068781606827
556,4,1,0.5868541937037891
557,3,1,0.49222052896490376
558,1,2,0.576873221762512
559,1,5,0.6514518436934035
560,4,2,0.5129860411412077
561,1,0,0.6601986449418922
562,0,1,0.7936758524932276
563,4,2,0.6224208163947282
564,5,0,0.7977696183228958
565,1,1,0.6710776555082348
566,3,0,0.7218601331857448
567,4,4,0.5370936999209145
568,4,1,0.4931860571368969
569,3,4,0.3918945182844141
570,0,1,0.6793076756857261
571,3,2,0.3490737684951971
572,0,5,0.8514503529772877
573,1,3,0.7281965293391155
574,0,3,0.8098764569360895
575,3,4,0.35981599025436917
576,3,3,0.6706205415053671
577,4,5,0.46125645974835344
578,2,0,0.7168846491276303
579,1,4,0.5992989170094019
580,5,2,0.4669476921059754
581,3,0,0.6123640412714748
582,2,2,0.7990537448905791
583,0,2,0.6431790607205032
584,5,4,0.3067541611523907
585,2,4,0.6057923188643043
586,1,0,0.5190749445773439
587,0,5,0.8299802233387912
588,5,0,0.6007274349604103
589,4,0,0.7488439507911241
590,4,1,0.5952401189782417
591,1,1,0.6107918381677284
592,3,1,0.8156136671409566
593,3,4,0.2646810981619441
594,1,2,0.7031828687229589
595,4,5,0.5397676993126489
596,1,2,0.692826354257747
597,2,2,0.5936213921122299
598,5,2,0.6448959602345256
599,4,3,0.6252135739830563
600,3,3,0.5423138936938319
601,4,2,0.6240932520303966
602,3,4,0.6512105366058201
603,2,5,0.6039758813110726
604,3,0,0.6255184774751302
605,4,0,0.6527273624966616
606,2,0,0.5729620684907016
607,4,1,0.760672771006142
608,2,3,0.4428848208682158
609,1,3,0.5543413329505591
610,4,4,0.4691088608054681
611,3,5,0.3927095323092834
612,0,0,0.5832506262778823
613,5,1,0.5581161030586004
614,3,2,0.5621315606348225
615,0,4,0.6171627767056997
616,2,0,0.7011389762981505
617,5,4,0.5826852810040866
618,0,1,0.5645078068676177
619,2,2,0.6709820801292563
620,3,1,0.5775316270376056
621,2,4,0.6078447486638432
622,1,4,0.7784807012765863
623,0,2,0.5622252626020238
624,1,5,0.5366187189023779
625,1,1,0.7509635305834271
626,1,4,0.6905756517845962
627,4,2,0.49472189084423607
628,3,0,0.5653293860657299
629,3,3,0.7643715186962925
630,0,1,0.7449318409444055
