,index,Session_Name_,Trial_Index_,expcond,trialn,noisecond,whichfirstopt,noiseinl,noiseinr,freql,freqr,frame,Frame_Name,Slider_X,Choice_SND1_Time,CONF,CONF_RT,Choice_SND1,Choice_SND1_RT,TRIAL_N_LIVE,itm_1,itm,part,logRT,zRT,zLogRT,zConf,zLFreq,zRFreq,Choice,totFreq,dFreq,absDFreq,zTotFreq,zDFreq,zAbsDFreq,choFreq,unchoFreq,zChoFreq,zUnchoFreq,ConfSplit,correct,LEv_bin,REv_bin
0,0,Pilot4,21,Experiment,170,1,0,1,1,9,8,2,aversion2.png,432,1510341.39,36.67,3856,z,9283,1,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L09_R08.wav,0,9.135940049399933,5.672089955505507,2.897534339679282,-1.1489793536520356,1.2185435916898848,0.8703882797784892,0,17,-1,1,1.5666989036012806,-0.2335496832484569,-1.2060453783110543,9,8,1.2756177631237935,0.8178320954022383,0.0,0,4,3
1,1,Pilot4,22,Experiment,128,1,0,1,1,5,2,2,aversion2.png,612,1528637.76,66.67,4147,m,4530,2,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L05_R02.wav,0,8.41847721847708,2.3928864190896477,2.1151641668595578,0.7758898064156491,-0.17407765595569785,-1.2185435916898848,1,7,-3,3,-1.044465935734187,-0.7006490497453707,-0.3015113445777635,2,5,-1.174501720924956,-0.22374651666665027,1.0,1,2,0
2,2,Pilot4,23,Experiment,94,1,0,1,1,1,5,2,aversion2.png,672,1541910.13,76.67,1520,z,569,3,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L01_R05.wav,0,6.343880434126331,-0.3398981817399793,-0.1471169921741237,1.417512859771544,-1.5666989036012806,-0.17407765595569785,0,6,4,4,-1.3055824196677337,0.9341987329938276,0.15075567228888187,1,5,-1.5245187900747772,-0.22374651666665027,1.0,1,0,1
3,3,Pilot4,24,Experiment,145,1,0,1,1,7,1,2,aversion2.png,612,1552573.9,66.67,1198,m,416,4,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L07_R01.wav,0,6.030685260261263,-0.4454563852055014,-0.4886462697088707,0.7758898064156491,0.5222329678670935,-1.5666989036012806,1,8,-6,6,-0.7833494518006403,-1.4012980994907414,1.0552897060221726,1,7,-1.5245187900747772,0.4706392247126088,1.0,1,3,0
4,4,Pilot4,25,Experiment,120,1,0,1,1,4,3,2,aversion2.png,432,1568486.36,36.67,3067,m,6145,5,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L04_R03.wav,0,8.723394022000136,3.5071119001146034,2.4476661474306223,-1.1489793536520356,-0.5222329678670935,-0.8703882797784892,1,7,-1,1,-1.044465935734187,-0.2335496832484569,-1.2060453783110543,3,4,-0.8244846517751346,-0.5709393873562798,0.0,1,1,0
5,5,Pilot4,26,Experiment,121,1,0,1,1,4,5,2,aversion2.png,552,1580543.21,56.67,2839,m,868,6,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L04_R05.wav,0,6.7661917146603505,-0.13361123509820744,0.3133998949657026,0.1342667530597542,-0.5222329678670935,-0.17407765595569785,1,9,1,1,-0.5222329678670935,0.2335496832484569,-1.2060453783110543,5,4,-0.12445051347549191,-0.5709393873562798,0.0,0,1,1
6,6,Pilot4,27,Experiment,92,1,0,1,1,1,3,2,aversion2.png,612,1606317.64,66.67,2873,z,343,7,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L01_R03.wav,0,5.8377304471659395,-0.49582075679362636,-0.6990572958432942,0.7758898064156491,-1.5666989036012806,-0.8703882797784892,0,4,2,2,-1.8278153875348273,0.4670993664969138,-0.7537783614444089,1,3,-1.5245187900747772,-0.9181322580459093,1.0,1,0,0
7,7,Pilot4,28,Experiment,96,1,0,1,1,1,7,2,aversion2.png,672,1620439.28,76.67,3083,z,864,8,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L01_R07.wav,0,6.761572768804055,-0.1363709266920773,0.3083630828660619,1.417512859771544,-1.5666989036012806,0.5222329678670935,0,8,6,6,-0.7833494518006403,1.4012980994907414,1.0552897060221726,1,7,-1.5245187900747772,0.4706392247126088,1.0,1,0,2
8,8,Pilot4,29,Experiment,161,1,0,1,1,8,9,2,aversion2.png,612,1633431.15,66.67,1612,z,1473,9,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L08_R09.wav,0,7.29505641646263,0.2837921184746086,0.8901098655924496,0.7758898064156491,0.8703882797784892,1.2185435916898848,0,17,1,1,1.5666989036012806,0.2335496832484569,-1.2060453783110543,8,9,0.9256006939739722,1.165024966091868,1.0,1,3,4
9,9,Pilot4,30,Experiment,146,1,0,1,1,7,2,2,aversion2.png,612,1643965.49,66.67,2775,z,741,10,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L07_R02.wav,0,6.608000625296087,-0.22123144320357543,0.1408975929784829,0.7758898064156491,0.5222329678670935,-1.2185435916898848,0,9,-5,5,-0.5222329678670935,-1.1677484162422844,0.6030226891555273,7,2,0.5755836248241508,-1.265325128735539,1.0,0,3,0
10,10,Pilot4,31,Experiment,99,1,0,1,1,1,10,2,aversion2.png,612,1658775.28,66.67,895,z,434,11,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L01_R10.wav,0,6.073044534100405,-0.43303777303308705,-0.4424548421314734,0.7758898064156491,-1.5666989036012806,1.5666989036012806,0,11,9,9,0.0,2.101947149236112,2.412090756622109,1,10,-1.5245187900747772,1.5122178367814973,1.0,1,0,4
11,11,Pilot4,32,Experiment,129,1,0,1,1,5,3,2,aversion2.png,582,1668846.86,61.67,3548,z,339,12,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L05_R03.wav,0,5.82600010738045,-0.4985804483874962,-0.7118488546107399,0.45507827973770165,-0.17407765595569785,-0.8703882797784892,0,8,-2,2,-0.7833494518006403,-0.4670993664969138,-0.7537783614444089,5,3,-0.12445051347549191,-0.9181322580459093,1.0,0,2,0
12,12,Pilot4,33,Experiment,126,1,0,1,1,4,10,2,aversion2.png,612,1681381.4,66.67,2381,z,390,13,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L04_R10.wav,0,5.966146739123692,-0.4633943805656555,-0.5590234540864685,0.7758898064156491,-0.5222329678670935,1.5666989036012806,0,14,6,6,0.7833494518006403,1.4012980994907414,1.0552897060221726,4,10,-0.47446758262531324,1.5122178367814973,1.0,1,1,4
13,13,Pilot4,34,Experiment,176,1,0,1,1,10,5,2,aversion2.png,582,1693190.87,61.67,1934,m,433,14,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L10_R05.wav,0,6.07073772800249,-0.4337276959315545,-0.4449703400885819,0.45507827973770165,1.5666989036012806,-0.17407765595569785,1,15,-5,5,1.044465935734187,-1.1677484162422844,0.6030226891555273,5,10,-0.12445051347549191,1.5122178367814973,1.0,1,4,1
14,14,Pilot4,35,Experiment,171,1,0,1,1,9,10,2,aversion2.png,582,1703837.95,61.67,2451,z,446,15,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L09_R10.wav,0,6.100318952020064,-0.4247586982514775,-0.4127129654214093,0.45507827973770165,1.2185435916898848,1.5666989036012806,0,19,1,1,2.088931871468374,0.2335496832484569,-1.2060453783110543,9,10,1.2756177631237935,1.5122178367814973,0.0,1,4,4
15,15,Pilot4,36,Experiment,156,1,0,1,1,8,3,2,aversion2.png,582,1714678.67,61.67,1786,m,454,16,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L08_R03.wav,0,6.118097198041348,-0.4192393150637378,-0.39332635915748254,0.45507827973770165,0.8703882797784892,-0.8703882797784892,1,11,-5,5,0.0,-1.1677484162422844,0.6030226891555273,3,8,-0.8244846517751346,0.8178320954022383,1.0,1,3,0
16,16,Pilot4,37,Experiment,138,1,0,1,1,6,3,2,aversion2.png,582,1725150.25,61.67,1520,m,675,17,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L06_R03.wav,0,6.51471269087253,-0.2667663545024281,0.0391700968194507,0.45507827973770165,0.17407765595569785,-0.8703882797784892,1,9,-3,3,-0.5222329678670935,-0.7006490497453707,-0.3015113445777635,3,6,-0.8244846517751346,0.12344635402297925,1.0,1,2,0
17,17,Pilot4,38,Experiment,133,1,0,1,1,5,8,2,aversion2.png,402,1737015.35,31.67,1421,z,2091,18,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L05_R08.wav,0,7.645397699428633,0.7101644697275017,1.2721457820000388,-1.469790880329983,-0.17407765595569785,0.8703882797784892,0,13,3,3,0.5222329678670935,0.7006490497453707,-0.3015113445777635,5,8,-0.12445051347549191,0.8178320954022383,0.0,1,2,3
18,18,Pilot4,39,Experiment,150,1,0,1,1,7,6,2,aversion2.png,432,1748318.17,36.67,4953,z,1793,19,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L07_R06.wav,0,7.491645473605133,0.5045674459841973,1.104483918131465,-1.1489793536520356,0.5222329678670935,0.17407765595569785,0,13,-1,1,0.5222329678670935,-0.2335496832484569,-1.2060453783110543,7,6,0.5755836248241508,0.12344635402297925,0.0,0,3,2
19,19,Pilot4,40,Experiment,158,1,0,1,1,8,5,2,aversion2.png,402,1763998.46,31.67,1485,m,1690,20,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L08_R05.wav,0,7.432483807917119,0.4335053874420484,1.0399700219215426,-1.469790880329983,0.8703882797784892,-0.17407765595569785,1,13,-3,3,0.5222329678670935,-0.7006490497453707,-0.3015113445777635,5,8,-0.12445051347549191,0.8178320954022383,0.0,1,3,1
20,20,Pilot4,41,Experiment,159,1,0,1,1,8,6,2,aversion2.png,432,1776621.61,36.67,2189,m,2547,21,SimClick_Noise_1_L07_R04.wav,SimClick_Noise_1_L08_R06.wav,0,7.842671474979457,1.0247693114286656,1.4872664979707497,-1.1489793536520356,0.8703882797784892,0.17407765595569785,1,14,-2,2,0.7833494518006403,-0.4670993664969138,-0.7537783614444089,6,8,0.22556655567432946,0.8178320954022383,0.0,1,3,2
